,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
236,三峽區,公寓,鋼筋混凝土造,82.72,3.0,1.0,1.0,4800000.0
237,三峽區,住宅大樓,鋼筋混凝土造,146.89,3.0,2.0,2.0,12100000.0
238,三峽區,住宅大樓,鋼筋混凝土造,135.43,2.0,2.0,1.0,10700000.0
239,三峽區,住宅大樓,鋼筋混凝土造,85.21,2.0,2.0,1.0,6770000.0
240,三峽區,住宅大樓,鋼筋混凝土造,140.73,3.0,0.0,3.0,9500000.0
241,三峽區,住宅大樓,鋼筋混凝土造,157.57,3.0,2.0,2.0,12800000.0
242,三峽區,住宅大樓,鋼筋混凝土造,39.02,1.0,1.0,1.0,4480000.0
243,三峽區,華廈,鋼筋混凝土造,138.77,3.0,2.0,1.0,10000000.0
244,三峽區,住宅大樓,鋼筋混凝土造,39.02,1.0,1.0,1.0,4430000.0
245,三峽區,透天厝,鋼筋混凝土造,232.32,5.0,3.0,3.0,10900000.0
246,三峽區,華廈,鋼筋混凝土造,115.85,3.0,2.0,2.0,8200000.0
247,三峽區,住宅大樓,鋼筋混凝土造,71.41,2.0,2.0,1.0,7500000.0
248,三峽區,住宅大樓,鋼筋混凝土造,149.5,3.0,2.0,2.0,13450000.0
249,三峽區,公寓,鋼筋混凝土造,77.44,3.0,2.0,1.0,4450000.0
250,三峽區,住宅大樓,鋼筋混凝土造,126.44,2.0,2.0,1.0,11100000.0
251,三峽區,住宅大樓,鋼筋混凝土造,131.21,3.0,2.0,2.0,9595000.0
252,三峽區,住宅大樓,鋼筋混凝土造,88.96,2.0,2.0,1.0,9400000.0
253,三峽區,住宅大樓,鋼筋混凝土造,108.12,2.0,2.0,1.0,9698000.0
254,三峽區,住宅大樓,鋼筋混凝土造,145.71,3.0,2.0,1.0,9080000.0
255,三峽區,華廈,鋼筋混凝土造,118.04,3.0,2.0,2.0,7380000.0
256,三峽區,住宅大樓,鋼筋混凝土造,117.75,3.0,2.0,2.0,7000000.0
257,三峽區,華廈,鋼筋混凝土造,138.79,1.0,2.0,2.0,12000000.0
258,三峽區,公寓,鋼筋混凝土造,91.53,3.0,2.0,2.0,5350000.0
259,三峽區,住宅大樓,鋼筋混凝土造,103.21,3.0,0.0,3.0,8900000.0
260,三峽區,住宅大樓,鋼筋混凝土造,143.92,3.0,2.0,2.0,12500000.0
261,三峽區,華廈,鋼筋混凝土造,55.22,2.0,1.0,1.0,4050000.0
262,三峽區,住宅大樓,鋼筋混凝土造,139.59,3.0,2.0,2.0,11700000.0
263,三峽區,住宅大樓,鋼筋混凝土造,150.72,5.0,0.0,5.0,8200000.0
264,三峽區,公寓,鋼筋混凝土造,88.03,2.0,1.0,1.0,7800000.0
265,三峽區,華廈,鋼筋混凝土造,84.08,2.0,1.0,1.0,5900000.0
266,三峽區,住宅大樓,鋼筋混凝土造,120.65,3.0,2.0,2.0,11460000.0
267,三峽區,住宅大樓,鋼筋混凝土造,102.76,3.0,2.0,1.0,9550000.0
268,三峽區,住宅大樓,鋼筋混凝土造,148.85,3.0,2.0,2.0,13600000.0
269,三峽區,華廈,鋼筋混凝土造,118.23,3.0,2.0,2.0,7400000.0
270,三峽區,住宅大樓,鋼筋混凝土造,109.53,2.0,1.0,1.0,8600000.0
271,三峽區,華廈,鋼筋混凝土造,76.57,1.0,1.0,1.0,5000000.0
272,三峽區,住宅大樓,鋼筋混凝土造,39.1,1.0,1.0,1.0,4150000.0
273,三峽區,住宅大樓,鋼筋混凝土造,140.41,3.0,2.0,2.0,11500000.0
274,三峽區,住宅大樓,鋼筋混凝土造,102.96,3.0,0.0,3.0,8800000.0
275,三峽區,住宅大樓,鋼筋混凝土造,100.42,2.0,1.0,1.0,7400000.0
276,三峽區,住宅大樓,鋼筋混凝土造,86.42,1.0,0.0,1.0,6300000.0
277,三峽區,住宅大樓,鋼筋混凝土造,131.21,3.0,2.0,2.0,10400000.0
278,三峽區,華廈,鋼筋混凝土造,44.7,2.0,1.0,1.0,4000000.0
