鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟05樓號,15.14,住,,,1070612,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10960000,67671,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟07樓號,15.21,住,,,1070126,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10030000,61883,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟20樓號,15.21,住,,,1070117,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10700000,66017,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟22樓號,15.21,住,,,1070124,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10760000,66518,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟07樓號,15.14,住,,,1070126,土地1建物1車位1,,,05,,,,,2,2,2,有,無,11000000,67918,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟05樓號,15.21,住,,,1070202,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10170000,62871,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟17樓號,15.14,住,,,1070127,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10660000,65949,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟21樓號,15.21,住,,,1070202,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10980000,67744,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟08樓號,15.21,住,,,1070210,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10250000,63240,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟04樓號,15.14,住,,,1070214,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9990000,61682,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B06棟19樓號,11.15,住,,,1070214,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8700000,68289,,,,,,
